,Resource,Section,Number,Color,Tag1,Tag2,Topic,Question
0,Blue,-,1,Blue,Recreational Activities,Psychological Effects,Social Issues,The older generation likes board games and card games while the younger generation is more in favor of playing computer and cellphone games. Which one do you prefer and why?
1,Blue,-,2,Blue,Educational Policies,Cultural Engagement,Education,"Do you agree or disagree with the following statement? Schools should require students to attend cultural events (for example, visit an art museum to see an exhibition). "
2,Blue,-,3,Blue,Higher Education,Curriculum Development,Education,"Your university currently requires all students to take one humanities course in a subject such as literature or philosophy in order to graduate. However,some students majoring in subjects such as math and science think that these humanities courses are not relevant to their field of study and they should therefore not be required to take them. Do you agree with these students? Explain why or why not. "
3,Blue,-,4,Blue,Urban vs Rural Living,Housing Choices,Lifestyle,"Some people prefer to live in many different cities throughout their lives, while others prefer to stay and live in just one city. Which do you prefer, andwhy? "
4,Blue,-,5,Blue,Recreational Activities,Psychological Effects,Lifestyle,Some people think that having a sense of humor makes it easier to deal with certain difficult situations in life such as conflicts with friends. Others believe it is best to approach difficult situations in a more serious manner. Which point of view do you agree with? Use details and examples to explain your opinion.
5,Blue,-,6,Blue,Parenting Challenges,Modern Family Dynamics,Social Issues,Do you agree or disagree with the following statement? It is more difficult to be a parent nowadays than in the past.
6,Blue,-,7,Blue,Higher Education,Curriculum Development,Urban Development and Living,"Your university plans to open a new cafe on campus. Some students think the café should be designed as a quiet area where students can read and study. Other students think the cafe should be designed as a place for students to talk with friends and watch television on large screens. Which proposal do you support, and why? "
7,Blue,-,8,Blue,Wildlife Conservation,Government Funding,Environmental Sustainability and Conservation,Do you think the government should spend money saving endangered animals or the money has to come from private sources?
8,Blue,-,9,Blue,Leadership Styles,Business Management,"Work, Career, and Professional Development",A large corporation wants to hire a new leader to run the business. It is considering two highly qualified candidates who have different approaches to decision-making for the job. The first person has a reputation for actingquickly and not always consulting with others before making decisions. The second person is known for sometimes delaying decisions in order to consider other people's opinions. Who do you think would make a better leader?
9,Blue,-,10,Blue,Education Focus,Career Training,Education,"Some college students choose a course of study that will give them specific professional training such as teaching or engineering, while others choose a broader course of study such as philosophy or history that will give them more general knowledge. Which do you think is better? "
10,Blue,-,11,Blue,Workplace Behavior,Personal Communication,"Work, Career, and Professional Development",Do you agree or disagree with the following statement? Employees shouldn’t send personal texts or emails during work hours. Explain why.
11,Blue,-,12,Blue,Consumer Behavior,Price Negotiation,Financial Management and Economics,"When purchasing a new or used product, in some situations there is not a fixed price, so the buyer and seller negotiate to reach an agreement on the price. Some buyers enjoy this process and prefer to negotiate a price whenever they can. Other people dislike the process of bargaining and would prefer to always pay a fixed price. Which do you prefer? "
12,Blue,-,13,Pink,Sports Philosophy,Talent vs. Hard Work,"Recreation, Leisure, and Creative Pursuits",Some think that natural talent and ability are more important for an athlete; others think that hard work is more important. What do you think?
13,Blue,-,14,Pink,Academic Communication,Teacher Preferences,Education,Some teachers prefer students to send questions about coursework and assignments by email. Other teachers prefer students ask these questions in person. Which do you think is better? Explain why.
14,Blue,-,15,Pink,Social Preferences,Alone Time,Lifestyle,Some people prefer to spend time by themselves while others prefer to spend time with their family. Which do you prefer? Explain why.
15,Blue,-,16,Pink,Music Listening,Travel Habits,"Recreation, Leisure, and Creative Pursuits",Some people like to listen to music on headphones while they go from one place to another. Others prefer going from place to place in silence. Which do you prefer? Explain why.
16,Blue,-,17,Pink,Technology Impact,Social Connections,Technology and Innovation,Do you agree or disagree with the following statement? Technology distances people from each other more than it brings them together. Use specific examples and details to support your opinion.
17,Blue,-,18,Pink,Higher Education,Curriculum Development,Education,Do you agree or disagree with the following statement? It is important for all university students to engage in social activities such as joining clubs or sports groups. Use details and examples to explain your answer.
18,Blue,-,19,Pink,News Sources,Information Reliability,"Media, Communication, and Information",Do you agree or disagree with the following statement? Newspapers are a better source of information about current news events than television is. Use details and examples to explain your opinion.
19,Blue,-,20,Pink,Urban vs Rural Living,Housing Choices,Social Issues,Some students who study abroad prefer to live with roommates from the same cultural background. Others prefer to live with roommates from different countries. Which would you prefer and why?
20,Blue,-,21,Pink,Summer Activities,Student Choices,"Recreation, Leisure, and Creative Pursuits","Some college students take classes during the summer. Others take the summer off from school, so that they can rest or work at a job. Which do you think is better for students? Explain why. "
21,Blue,-,22,Pink,First Impressions,Social Observations,Social Issues,When we meet new people we tend to notice certain things about them. Do you think that these first observations tell you a lot about the person or that it takes a long time to know what a person is like? Please include specific details in your explanation.
